user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
767,ES2010a,127.7,A,"And the whiteboard thing, do you guys wanna give that a try even though the ink wasn't working or do you wanna do it on here.",POSITIVE,4,Being respectful,asking for the group's opinion shows the speaker respects their thoughts.,2021-04-12 10:49:52.055149+00:00
767,ES2010a,282.07,D,No I I see it.,POSITIVE,6,Being positive,positive feedback when the speaker thought their drawing was bad may give them a confidence boost.,2021-04-12 10:51:05.988870+00:00
767,ES2010a,282.58,C,"No, I kne I knew.",POSITIVE,2,Being agreeable,agreeing with speaker d that speaker b's drawing was good gives both speakers confidence and nurtures a positive environment.,2021-04-12 10:52:07.130155+00:00
767,ES2010a,283.03,A,"No, it looks like a cat.",POSITIVE,7,Being agreeable,agreeing with speaker d that speaker b's drawing was good gives both speakers confidence and nurtures a positive environment.,2021-04-12 10:52:16.912700+00:00
767,ES2010a,283.76,D,"Yeah, it does look like a cat.",POSITIVE,4,Being agreeable,agreeing with speaker d that speaker b's drawing was good gives both speakers confidence and nurtures a positive environment.,2021-04-12 10:52:26.375575+00:00
1481,ES2010a,29.12,A,"And I know all your names again, Courtney, Fenella and Amber.",POSITIVE,6,Being respectful,"By remembering their names, it shows that the person cares and respects them enough to do so.",2021-04-12 10:58:32.046115+00:00
1481,ES2010a,148.06,A,Even if you are not a good drawer like me.,POSITIVE,4,Being positive,Telling jokes lightens the mood and gets people to see each other on a more personal level.,2021-04-12 10:59:28.359033+00:00
1481,ES2010a,283.76,D,"Yeah, it does look like a cat.",POSITIVE,4,Being respectful,The group agrees with somebody that is denigrating their own drawing skills which is very respectful.,2021-04-12 11:00:35.752862+00:00
1481,ES2010a,633.45,A,"Okay, so does anybody have anything they wanna say before we close the meeting?",POSITIVE,8,Being respectful,Giving the opportunity for everyone to have their voice heard is extremely important in reinforcing psychological safety of a group.,2021-04-12 11:02:33.718540+00:00
1481,ES2010a,551.46,C,Right.,POSITIVE,2,Being agreeable,"In this case, many people, including C, are being agreeable to the point that is being made previously.",2021-04-12 11:03:06.112087+00:00
363,ES2010a,19.91,A,Hi everybody and welcome to our kick-off meeting um for our new product that we're gonna be designing.,POSITIVE,3,Being positive,"This is a great way to speak to the group, the speaker is being respectful and welcoming the other group members.",2021-04-12 11:12:01.409759+00:00
