user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
685,ES2005a,4.8,C,<sound: laugh>,POSITIVE,2,Being positive,Laughing is a good sign of positivity and positive things.,2021-03-22 17:51:04.226739+00:00
685,ES2005a,106.74,B,"So before deciding or before finalising this project, we must discuss all these things, like and apart from this, it should be having a good look also, because people really li uh like to play with it when they are watching movies or playing with",NEGATIVE,2,Causing annoyance,The group will have to do more work to solve this problem.,2021-03-22 17:57:12.794317+00:00
685,ES2005a,279.54,C,"Okay, groovy.",POSITIVE,7,Being agreeable,Being agreeable and showing that they are fine with what was said.,2021-03-22 17:58:44.902325+00:00
685,ES2005a,285.04,D,Sorry it's okay.,POSITIVE,4,Being respectful,Apologizing for what was said before and being nice and respectful.,2021-03-22 17:59:19.902899+00:00
685,ES2005a,285.14,C,Sorry.,POSITIVE,1,Being respectful,Apologizing and being nice and respectful as well to the person.,2021-03-22 18:00:07.286172+00:00
556,ES2005a,4.8,C,"So, it's go gonna have to be be pretty damn trendy.",POSITIVE,5,Being positive,"The speaker is making a joke, making the mood lighter",2021-03-22 18:12:54.534143+00:00
556,ES2005a,30.29,A,For sure.,POSITIVE,5,Being agreeable,"The speaker is agreeing with the previous statement, reinforcing teamwork",2021-03-22 18:13:27.406734+00:00
556,ES2005a,72.31,D,Because we always lose our remote control.,POSITIVE,3,Being positive,"The speaker is making a joke, making the mood and tone lighter overall",2021-03-22 18:13:58.240363+00:00
556,ES2005a,217.76,D,So you want me to look at shapes and everything you said?,POSITIVE,4,Being respectful,The speaker is being respectful of who is giving him a task and he is being cooperative,2021-03-22 18:14:59.529213+00:00
556,ES2005a,302.71,C,Fashion into electronic.,POSITIVE,1,Being positive,"The speaker is making a joke, making the mood and tone lighter overall",2021-03-22 18:15:19.619221+00:00
676,ES2005a,74.58,C,"Okay, that's cool.",POSITIVE,7,Being positive,This was positive feedback given in response to one of the team members ideas.,2021-03-22 18:58:03.960948+00:00
676,ES2005a,215.63,C,Which will probably just usurp what I said so,NEGATIVE,4,Being passive-aggressive,This statement was essentially saying that it was a waste of time because things will just change anyways.,2021-03-22 19:00:12.445081+00:00
676,ES2005a,292.69,C,I shall I can't imagine these,NEGATIVE,1,being negative,"Combined with the next comment, this statement was negative and denigrated all of the work they had previously completed.",2021-03-22 19:01:46.297776+00:00
676,ES2005a,296.08,C,are worth much.,NEGATIVE,2,being negative,"I flagged this comment because, when combined with the prior comment, it diminished the work already done by the group.",2021-03-22 19:03:09.673805+00:00
676,ES2005a,162.73,C,For for uh remember we're trying to make it for twelve Euros fifty.,NEGATIVE,4,Dismissing others,"This was an interruption shooting down the other person's idea, in the middle of the other person throwing out their concept.",2021-03-22 19:05:53.206347+00:00
4,ES2005a,48.29,D,As you said they come with the T_V_ so it's normally just your basic grey black remote control,POSITIVE,1,Being agreeable,Is agreeablew to conversation with group about remote control colors.,2021-03-22 19:42:41.969653+00:00
4,ES2005a,127.61,B,"They really want to have something good, having a good design in their hands, so, yes, all this.",POSITIVE,7,Being positive,Being positive about what they are working on within the group discussion.,2021-03-22 19:44:07.113681+00:00
4,ES2005a,187.44,C,"Um, if you could maybe come up with sort of shapes and suggested shades or whatever, and you could look into um",POSITIVE,4,Being agreeable,Agreeing and adding to the conversation about remote controls and design ideas.,2021-03-22 19:48:39.156343+00:00
4,ES2005a,4.8,C,"So, it's go gonna have to be be pretty damn trendy.",POSITIVE,5,Being positive,Being positive to the group on the topic they are working on in regards to remote controls.,2021-03-22 19:50:10.124266+00:00
4,ES2005a,13.78,C,"Yeah, I was thinking that as well, I think the the only ones that I've seen that you buy are the sort of one for all type things where they're, yeah.",POSITIVE,5,Being agreeable,Agrees with group about remote controls and is adding to the conversation.,2021-03-22 19:50:54.507673+00:00
699,ES2005a,4.08,D,Mm 'kay.,NEGATIVE,3,Dismissing others,"Responding with dismissve remarks like ""mmkay"" and ""uh-huh"" make others feel like their views aren't worth consideration.",2021-03-22 21:07:10.402407+00:00
699,ES2005a,20.18,D,Yeah the universal ones.,POSITIVE,3,Being agreeable,"You are reinforcing another speakers statement, making them feel heard and validated.",2021-03-22 21:10:29.344239+00:00
699,ES2005a,38.36,D,"Mm-hmm, it's about that.",POSITIVE,2,Being agreeable,Acknowledged another speakers correctness respectfully and with no sass at all.,2021-03-22 21:11:49.892688+00:00
699,ES2005a,60.32,D,"Um, and as you say, we need to have some kind of gimmick, so um I thought maybe something like if you lose it and you can whistle, you know those things?",POSITIVE,6,Offering up new ideas,"By offering up your own new and risky ideas, you open the way for others to share their novel thoughts.",2021-03-22 21:13:37.548051+00:00
699,ES2005a,71.75,C,"The the keyrings, yeah yeah.",POSITIVE,1,Being agreeable,"Following allong with the other speaker, showing they know what they are talking about.",2021-03-22 21:15:02.029937+00:00
699,ES2005a,187.44,C,"Um, if you could maybe come up with sort of shapes and suggested shades or whatever, and you could look into um",POSITIVE,4,Being respectful,"YOu are very nnicely asking the others to do their job, respectfully asking that they do a certain task.",2021-03-22 21:18:06.501666+00:00
701,ES2005a,74.58,C,"Okay, that's cool.",POSITIVE,7,Being positive,This person was complimentary to another person's idea about the remote control locator,2021-03-22 21:21:27.724439+00:00
701,ES2005a,13.78,C,"Yeah, I was thinking that as well, I think the the only ones that I've seen that you buy are the sort of one for all type things where they're, yeah.",POSITIVE,5,Being agreeable,"This speaker says they share a thought with another speaker, which validates that person's experience",2021-03-22 21:23:00.089081+00:00
701,ES2005a,56.08,C,Mm-hmm.,POSITIVE,1,Being agreeable,"By this speaker agreeing with what the other person is saying, they are encouraging that person to continue with the line of thought",2021-03-22 21:24:49.285762+00:00
701,ES2005a,75.64,B,"Uh yeah uh, being as a Marketing Exper Expert I will like to say like before deciding the cost of this remote control or any other things we must see the market potential for this product like what is the competition in the market?",NEGATIVE,3,Dismissing others,"By this person starting their statement saying they are an expert, it implies their opinion should be valued over others",2021-03-22 21:25:48.593490+00:00
701,ES2005a,143.92,C,"Sorry, carry on.",POSITIVE,6,Being respectful,This speaker apologizes for interrupting another speaker and encourages that person to continue,2021-03-22 21:28:02.554980+00:00
709,ES2005a,0.08,C,"Uh, making a profit of fifty million Euros.",NEGATIVE,3,Being sarcastic,"statement seams sarcastic , I would have said """" So we would make a 50 million Euros ?",2021-03-22 23:00:01.712868+00:00
709,ES2005a,4.8,C,<sound: laugh>,NEGATIVE,3,Being sarcastic,By laughing is being sarcastic as if you are not taking anothers statement seriously,2021-03-22 23:01:33.981467+00:00
709,ES2005a,4.8,C,"So, it's go gonna have to be be pretty damn trendy.",NEGATIVE,5,Being passive-aggressive,"The way the statement is said has a negative overtone .  I would have said "" Well we need to make sure that the product is very trendy """,2021-03-22 23:04:39.656808+00:00
709,ES2005a,8.73,C,<sound: other>,NEGATIVE,3,Causing annoyance,This statement is anti progressive and has a negative overtone with it .  It should not be in the comments .,2021-03-22 23:08:04.344824+00:00
709,ES2005a,10.96,C,Yeah.,NEGATIVE,1,Causing annoyance,This is another negative statement that does not help the situation .,2021-03-22 23:09:27.113048+00:00
722,ES2005a,60.32,D,"Um, and as you say, we need to have some kind of gimmick, so um I thought maybe something like if you lose it and you can whistle, you know those things?",POSITIVE,6,Being positive,"Anytime a participant agrees upon an idea and adds to it, even in a minor way it will increase the ability of the participants to come out with ideas.",2021-03-23 00:43:49.202227+00:00
722,ES2005a,168.0,D,"No, I wasn't, no sorry I wasn't thinking of the screen of like a P_D_A_ but",POSITIVE,2,Being positive,Saying sorry and explaining for clarity is a good influence.,2021-03-23 00:51:57.824828+00:00
722,ES2005a,279.54,C,"Okay, groovy.",POSITIVE,7,Being positive,This expression gives a feeling that the discussion seems to be going well and encourages participation while moving things along.,2021-03-23 00:53:25.272367+00:00
722,ES2005a,296.08,C,are worth much.,NEGATIVE,2,Being sarcastic,"May affect the morale of the group discussion, as it may signal negativity.",2021-03-23 00:56:13.194722+00:00
722,ES2005a,285.04,D,Sorry it's okay.,POSITIVE,4,Being positive,Saying sorry and  ok  are good for moving things along in a discussion.,2021-03-23 00:58:42.227773+00:00
223,ES2005a,4.8,C,<sound: laugh>,NEGATIVE,3,Being sarcastic,"Previous statement is not really funny, so I feel the laugh was uncalled for.",2021-03-23 01:07:07.401387+00:00
223,ES2005a,8.73,C,<sound: other>,NEGATIVE,3,Causing frusturation,"This responder does not contribute to the conversation, instead makes some sound that can not be explained.",2021-03-23 01:08:51.985659+00:00
223,ES2005a,16.0,A,<sound: other>,NEGATIVE,1,Causing frusturation,"This responder does not contribute to the conversation, instead makes some sound that can not be explained.",2021-03-23 01:09:08.122613+00:00
223,ES2005a,41.168,B,<sound: other>,NEGATIVE,2,Causing frusturation,"This responder does not contribute to the conversation, instead makes some sound that can not be explained.",2021-03-23 01:09:36.561050+00:00
223,ES2005a,74.368,B,<sound: other>,NEGATIVE,1,Causing frusturation,"This responder does not contribute to the conversation, instead makes some sound that can not be explained.",2021-03-23 01:10:07.166050+00:00
223,ES2005a,123.1,B,<gap>,NEGATIVE,1,Causing annoyance,An appropriate contribution will be appreciated here instead of being quiet.,2021-03-23 01:11:35.274432+00:00
223,ES2005a,137.2,C,<gap>,NEGATIVE,1,Causing annoyance,"An appropriate contribution will be appreciated here, instead of leaving a gap.",2021-03-23 01:12:22.445751+00:00
627,ES2005a,4.08,D,Mm 'kay.,NEGATIVE,3,Dismissing others,It comes across as dismissive or kind of snippy to me. I don't like it.,2021-03-23 01:35:34.706500+00:00
627,ES2005a,4.8,C,"So, it's go gonna have to be be pretty damn trendy.",NEGATIVE,5,Dismissing others,"Seems to dismiss an idea or cause really high standards, which wouldn't make people want to talk.",2021-03-23 01:36:36.535938+00:00
627,ES2005a,30.29,A,For sure.,POSITIVE,5,Being agreeable,They are acknowledging the response positively and agreeing with what was said.,2021-03-23 01:37:18.744339+00:00
627,ES2005a,40.6,A,"Yeah, yeah.",POSITIVE,3,Being agreeable,They back up the previous point made and they seem to agree with it.,2021-03-23 01:37:39.198067+00:00
627,ES2005a,234.55,C,Cool.,POSITIVE,5,Being agreeable,Acknowledges and accepts what is being said. Seems to be a positive attitude.,2021-03-23 01:39:12.472768+00:00
729,ES2005a,75.64,B,"Uh yeah uh, being as a Marketing Exper Expert I will like to say like before deciding the cost of this remote control or any other things we must see the market potential for this product like what is the competition in the market?",NEGATIVE,3,Dismissing others,Prefacing with identifying as the marketing expert may make the other participants less likely to offer their opinions.,2021-03-23 01:41:13.778481+00:00
729,ES2005a,154.08,D,"Then you lose it, yeah.",POSITIVE,3,Being agreeable,This comment is agreeable and also re-emphasizes one of the prior speaker's points.,2021-03-23 01:42:41.318533+00:00
729,ES2005a,162.73,C,For for uh remember we're trying to make it for twelve Euros fifty.,NEGATIVE,4,Being passive-aggressive,A prior speaker noted that they shouldn't settle on a price yet.,2021-03-23 01:44:08.162856+00:00
729,ES2005a,13.78,C,"Yeah, I was thinking that as well, I think the the only ones that I've seen that you buy are the sort of one for all type things where they're, yeah.",POSITIVE,5,Being agreeable,This is agreeing with the perspective of a previous speaker.,2021-03-23 01:46:06.045748+00:00
729,ES2005a,60.32,D,"Um, and as you say, we need to have some kind of gimmick, so um I thought maybe something like if you lose it and you can whistle, you know those things?",POSITIVE,6,Being agreeable,This is building on a previous suggestion that was brought up.,2021-03-23 01:47:16.269326+00:00
