user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
363,ES2009c,6.78,D,"That went well, thank you.",POSITIVE,10,Being respectful,This speaker is thanking another member and saying the group went well.,2021-04-08 10:10:54.079147+00:00
363,ES2009c,11.94,A,That's great.,POSITIVE,9,Being positive,This speaker is pointing out they are pleased with the way the group went and is expressing a positive sentiment.,2021-04-08 10:11:18.393470+00:00
363,ES2009c,51.32,A,"Right so um, apologies for the last meeting, it was brought to my attention that I did not make the roles clear enough, um, so I will attempt to do so more accurately in this particular meeting.",POSITIVE,8,Being respectful,This speaker is apologizing to the group which is a respectful thing to do and takes courage to say something like that in front of the group.,2021-04-08 10:11:54.049554+00:00
363,ES2009c,91.6,A,"So, perfect.",POSITIVE,3,Being agreeable,This speaker is agreeing with the plan to design the remote control's looks and is in agreeance with the group's plan.,2021-04-08 10:12:33.575844+00:00
363,ES2009c,108.74,A,I'm not calling you the wrong name over and over again?,NEGATIVE,2,Dismissing others,This is a way of being dismissive toward someone if you aren't willing to even find out their name but have just been using a name you picked in previous interactions.,2021-04-08 10:13:17.664438+00:00
961,ES2009c,6.78,D,"That went well, thank you.",POSITIVE,10,Being respectful,One of the greatest ways to show respect to someone is by thanking them for something.,2021-04-08 10:46:12.873734+00:00
961,ES2009c,11.94,A,That's great.,POSITIVE,9,Being positive,A great reaction is very indicative of a very positive reaction to something.,2021-04-08 10:46:36.607818+00:00
961,ES2009c,13.67,D,Perfect.,POSITIVE,7,Being positive,Stating that something is perfect shows that they have only positive thoughts about it.,2021-04-08 10:47:04.383663+00:00
961,ES2009c,99.28,D,Go ahead.,POSITIVE,2,Being respectful,This person is showing some great respect by allowing Person B to go first.,2021-04-08 10:47:40.989417+00:00
961,ES2009c,109.92,B,No Nathan's fine.,POSITIVE,1,Being willing to answer some questions.,"Person B showed a willingness to answer questions by stating that the name of ""Nathan"" is just fine to use.",2021-04-08 10:49:02.912007+00:00
242,ES2009c,44.82,A,In this meeting ideally we'll come to some final decisions on what we're gonna do for the prototype.,POSITIVE,2,Being positive,The speaker is setting the expectations for the meeting so the group knows what is expected from them.,2021-04-08 11:37:47.763051+00:00
242,ES2009c,51.32,A,"Right so um, apologies for the last meeting, it was brought to my attention that I did not make the roles clear enough, um, so I will attempt to do so more accurately in this particular meeting.",POSITIVE,8,Being respectful,The speaker is showing respect to the rest of the group by apologizing for not making the group's roles clear during the last meeting. This would make the group members feel more valued.,2021-04-08 11:39:06.724248+00:00
242,ES2009c,93.92,A,"So, without th further ado, whoever wants to go first is free to.",POSITIVE,2,Being positive,The speaker is taking the pressure off the group by allowing them to decide who wants to go first.,2021-04-08 11:40:47.414187+00:00
1281,ES2009c,122.13,B,"Um, basically what I'm gonna have to talk to you about today is um component design and it's been brought to my attention that we may be somewhat limited as to what we can do because of what our manufacturer offers, so Basically what I'm gonna be doing is talking to you about that.",NEGATIVE,3,Being passive-aggressive,not a very nice comment and sounds passive aggressive to me,2021-04-08 11:42:00.426111+00:00
1281,ES2009c,180.03,B,So we'll have to look into that.,POSITIVE,2,Being respectful,making a comment and nothing bad here is said at all,2021-04-08 11:42:22.638584+00:00
242,ES2009c,111.84,B,It's either Nathan or participant two.,POSITIVE,2,Being agreeable,The speaker is making a joke to lighten up the mood of the group and to help lower the stress levels in the room.,2021-04-08 11:42:26.975951+00:00
