user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
8,ES2006b,41.46,A,Mm.,NEGATIVE,1,Not a helpful or constructive comment,"Comments that are not helpful, on topic or constructive are inappropriate",2021-01-29 14:06:40.046088+00:00
8,ES2006b,56.64,D,Um um wi on on a what?,NEGATIVE,6,Causing embarrassment,It is making fun of the speaker,2021-01-29 14:07:16.647808+00:00
8,ES2006b,58.86,D,"Oh project project documents, yeah, yeah, yeah, okay.",NEGATIVE,11,Being passive-aggressive,D knew what the speaker was saying but tried to be negative,2021-01-29 14:08:30.549711+00:00
8,ES2006b,97.83,D,"Yeah, the last minute, yeah, yeah.",NEGATIVE,35,Dismissing others,Being dismissive about the late send is rude,2021-01-29 14:10:45.497493+00:00
8,ES2006b,140.14,A,"Uh okay, 'kay.",NEGATIVE,1,Dismissing others,This comment is dismissive and rude,2021-01-29 14:13:26.880155+00:00
20,ES2006b,97.58,C,"I just sent at the last minute, I'm sorry about that, but we can see how that affects what you were you were doing.",NEGATIVE,14,Being passive-aggressive,Because he says that what else he could do for his mistake,2021-01-29 14:22:00.971240+00:00
20,ES2006b,102.74,D,Yeah.,POSITIVE,2,Being agreeable,He says yes because he agrees,2021-01-29 14:22:35.775807+00:00
20,ES2006b,67.7,D,"Yes, I think so.",POSITIVE,4,Being agreeable,He says and accepts it without full confirmation,2021-01-29 14:23:18.258966+00:00
20,ES2006b,97.83,D,"Yeah, the last minute, yeah, yeah.",POSITIVE,1,Being positive,He says yes because it is something positive and accepts it,2021-01-29 14:24:43.460037+00:00
20,ES2006b,41.78,C,No.,NEGATIVE,2,Causing frusturation,He says no which is off frustration,2021-01-29 14:25:31.347764+00:00
21,ES2006b,105.09,C,"Um and then we need to, by the end of the meeting come to some kind of decision on who our target group's going to be and what the functions of the remote control that's the the main goal is to come up with those two things, target group and functions of the remote control.",POSITIVE,21,Being positive,the speech was kind of motivation speech so it positive,2021-01-29 14:26:18.087011+00:00
21,ES2006b,63.52,C,"Is it best if I send you an email maybe, to let you know it's there?",POSITIVE,29,Being agreeable,it should be approving  kind of speech,2021-01-29 14:27:25.415405+00:00
21,ES2006b,235.13,A,"se uh from the design, functional design perspective um w I c we can now uh know wha what exactly the components are and how how they work together with each other.",POSITIVE,3,Being respectful,it kind so respecting speech,2021-01-29 14:30:19.745263+00:00
21,ES2006b,203.57,C,"Just before you start, to make it easier, would you three mind emailing me your presentations?",POSITIVE,12,Being agreeable,it should be  agreeable,2021-01-29 14:31:08.161167+00:00
21,ES2006b,172.6,C,I assume we just pull it out?,POSITIVE,2,Being respectful,it is kind of respect,2021-01-29 14:31:44.151578+00:00
