user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
766,ES2004c,17.57,D,Oh good grief.,NEGATIVE,5,Being passive-aggressive,By making a comment such as this it seems like you are very annoyed with the other participant versus being accommodating to them while they figure out issues on their end.,2021-03-24 10:39:14.324012+00:00
766,ES2004c,191.93,B,Yes if you feel,POSITIVE,3,Being respectful,This comment shows that you are letting the other participant take the lead but also is respectful of them by making sure they are prepared to do so.,2021-03-24 10:40:53.105224+00:00
766,ES2004c,357.29,B,Okay thank you very much.,POSITIVE,6,Being respectful,It's great to acknowledge the work that the other participant did by thanking them and will help them to feel willing to share in the future.,2021-03-24 10:41:49.377626+00:00
753,ES2004c,80.08,B,"Welcome back everybody, hope you've had fun.",POSITIVE,3,Being positive,"It a proper way to greet anyone, and also a positive way of approach",2021-03-24 10:43:03.489553+00:00
766,ES2004c,685.04,D,"Could I just ask referring back to solar charging, is that compatible with um standard batteries?",POSITIVE,2,Being respectful,This is a great way to ask if it's okay to reference back to a previous conversation. Rather than confusing people by just jumping around in the conversation you made sure to ask beforehand to go back on a prior topic.,2021-03-24 10:44:42.077386+00:00
766,ES2004c,1179.73,A,That could be a good idea.,POSITIVE,23,Being agreeable,Letting someone know that they have an idea that is a good one is a great way to keep a positive conversation flowing.,2021-03-24 10:47:14.038702+00:00
753,ES2004c,191.93,B,Yes if you feel,POSITIVE,3,Being agreeable,"It is a best way to agree someone, also a positive approach",2021-03-24 10:49:02.293607+00:00
753,ES2004c,188.62,B,"Okay, so shall we start with the first presentation?",POSITIVE,1,Being respectful,Asking permission in a polite way will made  good impression,2021-03-24 10:51:01.518071+00:00
753,ES2004c,290.9,D,"and of course, as we predicted, that it should be easy to use.",POSITIVE,1,Being positive,The selected line consist a positive encouragement to the team,2021-03-24 10:52:20.805615+00:00
753,ES2004c,347.85,D,"So a lot of interesting feedback there, both from our market research departments and from our people in Paris and Milan.",POSITIVE,4,Being positive,"Engage in a conversation with positivity and acceptability, This kind of statement ensure the listeners attentions",2021-03-24 10:53:14.913961+00:00
771,ES2004c,17.57,D,Oh good grief.,NEGATIVE,5,Causing embarrassment,"Complaining while someone is trying to get set up may make them feel rushed and more likely to make a mistake, further delaying the start of the meeting.",2021-03-24 11:31:35.715389+00:00
771,ES2004c,52.39,B,Put it on in that way.,POSITIVE,1,Being positive,This person appears to be helping another participant get set up correctly. They seem to be patient while still helping to move things along.,2021-03-24 11:33:01.619326+00:00
